iter	Passed	Remaining
0	159	159383
1	162	81146
2	163	54493
3	165	41239
4	167	33406
5	169	28048
6	171	24358
7	172	21439
8	175	19292
9	176	17473
10	178	16046
11	179	14819
12	181	13749
13	182	12837
14	183	12044
15	184	11344
16	185	10733
17	186	10178
18	187	9697
19	189	9271
20	191	8923
21	193	8587
22	194	8242
23	195	7938
24	196	7680
25	198	7434
26	199	7197
27	201	6979
28	202	6775
29	203	6587
30	205	6429
31	206	6259
32	208	6117
33	209	5960
34	211	5831
35	212	5693
36	213	5566
37	215	5461
38	216	5339
39	217	5226
40	219	5124
41	220	5019
42	220	4916
43	221	4816
44	222	4730
45	224	4655
46	225	4576
47	227	4513
48	229	4452
49	231	4401
50	232	4333
51	234	4270
52	235	4208
53	236	4148
54	238	4090
55	239	4030
56	240	3978
57	241	3925
58	243	3876
59	243	3819
60	244	3764
61	245	3717
62	247	3681
63	249	3642
64	250	3596
65	251	3552
66	252	3510
67	253	3469
68	254	3434
69	255	3398
70	256	3361
71	258	3327
72	259	3297
73	260	3262
74	262	3232
75	263	3203
76	265	3179
77	266	3152
78	267	3119
79	268	3086
80	269	3053
81	270	3030
82	271	2996
83	272	2976
84	274	2954
85	275	2927
86	276	2900
87	278	2883
88	279	2861
89	280	2837
90	281	2813
91	282	2792
92	284	2770
93	285	2755
94	287	2737
95	288	2719
96	290	2700
97	290	2677
98	292	2659
99	293	2639
100	294	2622
101	296	2606
102	297	2591
103	298	2574
104	300	2559
105	301	2546
106	303	2529
107	304	2511
108	305	2495
109	306	2479
110	307	2460
111	308	2443
112	309	2426
113	310	2410
114	311	2394
115	311	2377
116	312	2358
117	314	2348
118	315	2336
119	316	2323
120	317	2308
121	318	2292
122	319	2278
123	320	2265
124	321	2250
125	322	2236
126	323	2224
127	324	2208
128	324	2194
129	325	2181
130	326	2168
131	328	2157
132	328	2144
133	330	2132
134	330	2119
135	331	2105
136	332	2093
137	333	2081
138	333	2068
139	334	2056
140	335	2045
141	336	2031
142	337	2021
143	338	2010
144	338	1998
145	340	1991
146	341	1982
147	342	1971
148	343	1961
149	344	1952
150	345	1942
151	347	1936
152	348	1927
153	349	1918
154	350	1910
155	351	1899
156	352	1890
157	352	1881
158	354	1872
159	355	1864
160	355	1854
161	356	1844
162	357	1834
163	358	1825
164	358	1815
165	359	1806
166	360	1798
167	361	1788
168	362	1780
169	363	1773
170	364	1766
171	365	1761
172	366	1752
173	367	1743
174	368	1736
175	369	1731
176	371	1726
177	372	1718
178	373	1710
179	373	1703
180	374	1696
181	376	1693
182	377	1685
183	378	1679
184	379	1672
185	380	1665
186	381	1658
187	382	1652
188	383	1645
189	384	1638
190	385	1631
191	385	1624
192	386	1617
193	387	1610
194	388	1604
195	389	1598
196	391	1594
197	392	1587
198	393	1581
199	393	1574
200	394	1567
201	395	1560
202	396	1555
203	397	1549
204	397	1542
205	399	1538
206	399	1531
207	400	1526
208	401	1520
209	402	1514
210	403	1509
211	405	1508
212	407	1504
213	408	1499
214	409	1494
215	409	1487
216	410	1481
217	411	1475
218	412	1471
219	413	1466
220	414	1461
221	415	1455
222	416	1451
223	417	1445
224	418	1440
225	419	1435
226	420	1430
227	421	1425
228	421	1420
229	422	1415
230	423	1410
231	424	1405
232	425	1401
233	426	1396
234	427	1391
235	428	1386
236	429	1381
237	430	1377
238	431	1373
239	432	1368
240	433	1365
241	434	1362
242	436	1358
243	437	1354
244	438	1350
245	439	1346
246	440	1342
247	441	1338
248	442	1333
249	443	1329
250	444	1325
251	445	1321
252	446	1317
253	447	1314
254	448	1309
255	449	1305
256	450	1301
257	451	1297
258	451	1293
259	452	1288
260	453	1283
261	454	1279
262	455	1276
263	456	1272
264	457	1268
265	458	1264
266	459	1261
267	460	1256
268	461	1254
269	462	1250
270	463	1246
271	464	1242
272	465	1238
273	467	1237
274	468	1234
275	469	1231
276	470	1228
277	471	1224
278	472	1221
279	473	1218
280	475	1215
281	476	1212
282	477	1209
283	478	1206
284	479	1202
285	480	1199
286	481	1195
287	482	1193
288	483	1190
289	485	1187
290	486	1184
291	487	1181
292	488	1179
293	489	1175
294	490	1173
295	491	1169
296	493	1167
297	494	1164
298	496	1163
299	496	1159
300	498	1156
301	499	1153
302	500	1151
303	501	1148
304	502	1145
305	503	1142
306	504	1139
307	505	1135
308	506	1133
309	508	1130
310	509	1127
311	510	1124
312	510	1121
313	511	1118
314	513	1115
315	514	1112
316	515	1109
317	515	1106
318	516	1103
319	518	1100
320	519	1098
321	520	1095
322	521	1092
323	521	1088
324	523	1086
325	524	1083
326	525	1081
327	526	1079
328	528	1077
329	529	1074
330	530	1072
331	532	1070
332	533	1067
333	534	1066
334	535	1063
335	537	1061
336	538	1058
337	539	1056
338	540	1054
339	541	1050
340	542	1049
341	543	1046
342	545	1043
343	546	1041
344	547	1039
345	548	1037
346	550	1035
347	551	1032
348	552	1030
349	553	1027
350	554	1025
351	555	1023
352	557	1021
353	558	1019
354	559	1016
355	560	1014
356	562	1012
357	563	1010
358	564	1007
359	565	1005
360	567	1004
361	568	1002
362	570	1000
363	571	998
364	572	996
365	574	994
366	575	992
367	576	990
368	578	988
369	579	987
370	581	985
371	582	983
372	584	981
373	585	979
374	586	977
375	588	976
376	589	974
377	591	973
378	592	971
379	594	969
380	595	967
381	596	965
382	598	964
383	599	962
384	601	961
385	603	960
386	604	958
387	606	956
388	607	954
389	608	952
390	609	949
391	611	947
392	612	946
393	614	944
394	615	942
395	617	942
396	619	941
397	621	939
398	623	939
399	625	938
400	626	936
401	628	934
402	629	932
403	630	930
404	632	929
405	634	927
406	635	925
407	637	924
408	638	923
409	640	921
410	642	920
411	643	918
412	645	917
413	646	915
414	648	914
415	650	912
416	651	911
417	653	909
418	654	907
419	655	905
420	657	904
421	659	902
422	660	901
423	661	899
424	663	897
425	664	895
426	666	894
427	667	892
428	668	890
429	670	888
430	672	887
431	674	886
432	675	885
433	677	883
434	678	881
435	680	879
436	681	877
437	682	876
438	684	874
439	686	873
440	687	871
441	688	869
442	690	868
443	692	866
444	693	865
445	694	863
446	696	861
447	697	859
448	699	858
449	701	857
450	702	855
451	704	854
452	706	852
453	707	851
454	709	850
455	711	849
456	713	848
457	715	846
458	717	845
459	718	843
460	720	842
461	722	840
462	723	839
463	725	838
464	727	836
465	729	836
466	731	834
467	732	833
468	734	831
469	736	831
470	739	830
471	740	828
472	743	828
473	745	827
474	747	826
475	749	824
476	751	823
477	752	821
478	754	820
479	756	819
480	758	818
481	760	817
482	762	816
483	764	814
484	766	813
485	767	811
486	769	810
487	771	809
488	773	808
489	775	807
490	777	806
491	779	805
492	781	803
493	783	802
494	785	801
495	787	799
496	789	798
497	791	797
498	793	796
499	796	796
500	798	795
501	800	794
502	802	792
503	804	791
504	806	790
505	809	790
506	811	788
507	813	787
508	815	786
509	818	785
510	820	784
511	822	783
512	824	782
513	826	781
514	828	780
515	830	778
516	834	779
517	836	778
518	838	776
519	839	775
520	841	773
521	843	772
522	845	771
523	847	769
524	849	768
525	851	767
526	853	765
527	855	764
528	857	763
529	859	762
530	860	760
531	863	759
532	865	757
533	867	757
534	869	756
535	871	754
536	873	753
537	875	751
538	877	750
539	879	749
540	881	747
541	882	745
542	884	744
543	886	743
544	888	741
545	889	739
546	891	737
547	892	736
548	895	735
549	897	733
550	898	732
551	900	731
552	902	729
553	904	728
554	906	727
555	908	725
556	910	724
557	912	723
558	914	721
559	916	720
560	918	718
561	920	717
562	922	715
563	924	714
564	925	712
565	927	710
566	928	709
567	930	707
568	932	705
569	933	704
570	935	702
571	937	701
572	938	699
573	940	697
574	942	696
575	944	695
576	945	693
577	948	692
578	950	690
579	951	689
580	953	687
581	955	686
582	957	684
583	959	683
584	960	681
585	961	679
586	964	678
587	965	676
588	967	675
589	970	674
590	972	672
591	973	671
592	975	669
593	978	668
594	979	666
595	981	665
596	982	663
597	984	661
598	985	660
599	987	658
600	989	656
601	990	655
602	993	653
603	994	651
604	996	650
605	997	648
606	999	646
607	1000	645
608	1002	643
609	1003	641
610	1005	640
611	1006	638
612	1008	636
613	1010	634
614	1010	632
